source,target
3203,65529
3203,70899
3203,42626
7862,7862
7447,7862
7862,9560
3085,7862
11367,11367
11367,31028
31028,31028
31028,5375
31028,52646
1734,31028
192,31028
287,31028
12052,31028
3266,3266
26009,3266
1067583,3266
3266,36059
3266,33
3266,5149
2710,3266
3266,4587
3266,8691
36059,36059
1179102,1179102
21010,21010
101032,21010
21010,76184
21010,75781
21010,30672
184951,21010
1183966,21010
21010,45002
20861,21010
21010,39770
21010,34721
21010,83908
1748,21010
21010,8499
101032,101032
3248327,3248327
1151688,3248327
3248327,3264883
1151688,1151688
1151688,3264883
3264883,3264883
928944,928944
2022250,928944
928944,9979
2022250,2022250
2022250,9979
9979,9979
56890,9979
46393,9979
9789,9979
6449,9979
82128,9979
1353815,9979
1353816,9979
20212,9979
41249,9979
21818,9979
12967,9979
13567,9979
25834,9979
3199207,9979
3199208,9979
1204293,9979
2027993,9979
27116,9979
31,9979
57829,9979
1066777,9979
65013,9979
4808,9979
7447,9979
9560,9979
3085,9979
1,9979
1776,9979
7879,9979
2045089,9979
4687,9979
2045090,9979
514,514
514,7071
514,518
10409,514
514,7077
514,6193
1892,514
3391,514
117075,514
34947,514
1262612,514
21200,514
6193,6193
103,6193
2282,6193
24045,6193
3899,6193
1892,6193
15831,6193
16418,6193
134,6193
27319,6193
6193,9261
488,6193
31,6193
1892,1892
1892,2157
1892,880
1892,31
1892,3197
12833,1892
10297,1892
1813,1892
1892,83002
1892,5141
1892,5139
1892,5140
11665,7796
7796,7796
2171,7796
7796,851784
7796,89819
176557,7796
19453,7796
17696,7796
7796,81316
10767,7796
1366083,7796
11477,7796
380,7796
4517,7796
204,851784
851784,851784
20508,851784
851784,89819
10297,851784
1813,851784
83002,851784
15831,89819
89819,89819
1254526,89819
17051,89819
1518619,89819
2130,89819
16431,89819
2203,89819
13922,89819
188238,89819
52139,89819
125025,125025
125025,1535219
125025,1362858
122889,125025
125025,84225
125025,21029
123725,125025
125025,7796
125025,851784
125025,89819
122889,122889
122889,84225
122889,57637
122889,69230
122889,69231
84225,84225
84219,84225
69225,84225
154575,84225
4724,4724
4724,66743
1461,4724
4724,5141
4724,5139
4724,5140
66743,66743
1461,66743
163630,66743
5374,66743
17306,66743
1461,1461
1461,2676541
1461,2698947
1461,1833194
1158,1461
134,1461
1461,2157
1461,190
1461,14701
1461,6449
2098136,2098136
2098136,2098137
2098136,2098138
2098137,2098137
2098137,2098138
2098138,2098138
11784,11784
11784,78021
78021,78021
252527,78021
565671,78021
1198123,78021
106207,78021
52860,78021
1515269,78021
1904715,78021
2029964,78021
1102159,78021
42545,78021
15832,78021
1404664,78021
1404667,78021
1404668,78021
70602,78021
1036843,78021
1288492,78021
44762,78021
78021,93190
106166,78021
1748,78021
33663,78021
11161,78021
3027,78021
131120,78021
4955,78021
1133295,78021
1536126,78021
1536127,78021
1376433,78021
1376434,78021
16847,16847
16847,19487
16847,33934
16847,2714
16847,18315
16847,287
16847,19119
16847,27319
16847,52365
16847,21429
1015924,16847
16847,20493
16847,33656
16847,39520
11462,16847
11465,16847
11464,16847
2714,2714
2714,59183
2714,45445
111207,2714
260967,2714
21625,2714
126837,2714
18315,2714
14392,2714
2053,2714
22082,2714
2714,60848
1229762,2714
1337598,2714
2714,31365
23967,2714
16476,2714
2714,78494
2714,571562
2714,75039
18315,18315
18315,5140
67599,67599
1443708,67599
11006,67599
1443708,1443708
11006,1443708
1443708,587506
1443708,543505
130640,1443708
11006,11006
216108,216108
216108,97724
97724,97724
3027,97724
131120,97724
4955,97724
4955,4955
4955,88164
14138,4955
27995,4955
34546,4955
2183911,4955
113,4955
15175,4955
3027,4955
131120,4955
105685,4955
32055,4955
13333,4955
27993,27995
27995,27995
27995,37028
102429,102429
102334,102429
102429,31302
102429,34721
100659,102429
102429,1262735
102429,11770
102429,31211
102429,1976249
102429,44762
102429,62923
100476,102429
102429,1038
102429,4173
102429,349
102429,1032
1006721,102429
102429,11483
102429,1158
102429,380
102429,3087
102334,102334
44762,44762
44762,93190
106166,44762
44762,650
104021,44762
100360,44762
44762,62923
16178,44762
44762,64722
100476,44762
21278,44762
109255,44762
44762,7505
26660,44762
3035391,44762
3035392,44762
44762,82702
44762,926
1905,44762
44762,79084
16028,44762
41955,44762
100360,100360
100360,62923
100360,93190
100360,106166
100360,650
100360,104021
62923,62923
100476,62923
62596,62596
62596,64722
11357,62596
62596,97915
27804,62596
62596,97914
27747,62596
62596,80579
55841,62596
5141,62596
5140,62596
3027,62596
131120,62596
4955,62596
16847,62596
2714,62596
18315,62596
64722,64722
11357,64722
16178,64722
1036843,64722
1351030,64722
19302,64722
5141,64722
11357,11357
11357,2545
11357,59287
11357,1924482
11357,1658964
11357,1450386
11357,4955
11357,27995
16178,4610
16178,16178
11173,16178
1319490,16178
16178,926
16178,1905
16178,4955
16178,27995
20903,20903
20903,22082
19506,20903
20903,225863
16896,20903
20903,34982
20903,571562
20903,86314
20903,963818
1137540,20903
127387,20903
20903,75037
20903,587035
22082,22082
22082,43458
104646,22082
19506,22082
22082,54500
134610,22082
210344,22082
22082,84698
1547914,22082
1484044,22082
